Date,Trading Returns (%)
2018-01-03,0.8773774489553132
2018-01-04,0.887233960494016
2018-01-05,0.5969944084159314
2018-01-08,0.3897644462988126
2018-01-09,-0.6368617769317964
2018-01-10,0.0014391036959160476
2018-01-11,1.0868144424916883
2018-01-12,0.7045143835445004
2018-01-16,-0.40162327780196755
2018-01-17,-0.039758152955895104
2018-01-18,0.2609478376818963
2018-01-19,0.4279183961957774
2018-01-22,2.165023518246445
2018-01-23,2.428724475022326
2018-01-24,0.07101208369170342
2018-01-25,1.010657045829529
2018-01-26,1.0246057724821234
2018-01-29,0.8068210085417008
2018-01-30,-1.3939153300055778
2018-01-31,-0.7049949828951129
2018-02-01,-1.5064941719485083
2018-02-02,-0.0
2018-02-05,-0.0
2018-02-06,0.0
2018-02-07,-0.0
2018-02-08,-0.0
